Store Number,Longitude,Latitude
15058-157324,-58.4,-34.58
16237-169426,-58.39,-34.59
8177-151507,-58.37,-34.6
3629-142529,-58.41,-34.58
23695-219147,-58.38,-34.6
16690-174425,-58.44,-34.57
24076-221025,-58.4,-34.6
15672-164105,-58.37,-34.61
3633-142525,-58.46,-34.54
25325-232985,-58.41,-34.59
19945-198044,-58.41,-34.6
15458-161684,-58.48,-34.58
3554-153291,-58.4,-34.59
15150-156011,-58.4,-34.77
4034-136938,-58.49,-34.55
8090-154364,-58.38,-34.6
24876-231226,-58.44,-34.6
26472-239830,-58.39,-34.6
9125-149965,-58.44,-34.57
21445-212345,-58.44,-34.62
20331-204904,-58.45,-34.55
21525-212344,-58.37,-34.6
47742-259028,-68.84,-32.89
47803-259029,-68.84,-32.88
17240-171905,-68.78,-32.9
47752-259027,-68.84,-32.89
17241-171904,-68.83,-32.92
15673-163045,-60.65,-32.94
15651-163044,-60.67,-32.93
47305-254784,-60.7,-32.96
47235-248696,-64.31,-31.32
47289-254786,-64.2,-31.44
16161-168806,-64.19,-31.41
22131-168807,-64.24,-31.36
16290-163049,-64.2,-31.41
16302-163050,-64.2,-31.44
21998-216824,16.32,48.11
19939-196684,13.01,47.82
21799-140452,13.04,47.8
19767-199325,13.05,47.81
25921-242984,16.56,48.13
40206-77760,16.35,48.2
40202-69420,16.39,48.24
23739-161864,16.38,48.18
15134-158024,16.37,48.21
40213-99693,16.37,48.21
40212-96779,16.35,48.22
40204-76700,16.36,48.2
31077-103980,16.38,48.21
32495-133884,16.39,48.21
13074-150484,16.43,48.24
19247-200084,16.34,48.2
17786-183845,16.36,48.21
32492-120288,16.37,48.2
49778-271255,151.29,-33.8
25291-240407,150.82,-33.77
48100-261428,151,-33.82
25277-240391,151.21,-33.88
25290-240408,151.21,-33.87
25296-240405,151.21,-33.87
25276-240390,151.21,-33.87
25279-240396,151.21,-33.88
25299-240395,150.99,-33.8
25282-240406,153.03,-27.47
25278-240393,153.02,-27.47
25288-240410,153.43,-28.03
25287-240411,153.03,-27.39
25292-240421,153.43,-28.01
25285-240413,153.43,-28.02
24303-236999,153.09,-27.54
25295-240418,153.03,-27.5
25294-240419,144.97,-37.81
25293-240420,144.97,-37.82
25286-240412,144.95,-37.82
25283-240416,144.97,-37.81
49790-270953,144.96,-37.81
15476-160864,-70.04,12.57
3635-146029,-70.04,12.52
3634-146030,-70.04,12.52
28752-250830,49.85,40.38
25822-240094,49.86,40.38
28135-250266,49.85,40.4
29399-253484,48.9,39.95
48462-260556,4.38,50.84
26401-240667,4.35,50.83
26399-240668,4.33,50.83
48459-260557,4.41,50.84
18497-185504,4.4,51.22
20374-205052,4.36,50.84
18478-186824,4.36,50.85
6104-148664,4.42,51.22
17990-180284,3.19,51.27
15272-158067,4.36,50.85
17299-177127,3.72,51.04
15759-164604,3.72,51.05
20894-198024,4.71,50.88
17489-177128,4.36,50.86
32639-137287,4.49,50.9
1338-245953,4.48,50.87
6030-137290,4.48,50.9
28830-248724,5.57,50.63
19372-201645,4.86,50.47
1460-137881,25.62,42.42
1459-137880,23.43,42.64
22556-222345,23.32,42.66
1603-141846,23.32,42.7
1370-137876,23.32,42.69
47088-256773,50.52,26.21
21603-213405,50.59,26.23
17255-179926,50.6,26.2
17189-179925,50.58,26.22
15439-161444,50.57,26.21
47377-258065,50.55,26.22
26955-246149,50.59,26.23
21148-209545,50.6,26.22
34324-95973,50.61,26.21
34234-33223,50.54,26.23
34286-79020,50.58,26.21
1349-112145,50.59,26.24
32717-122090,50.55,26.23
34218-27369,50.54,26.23
34345-98401,50.58,26.24
32716-134986,50.55,26.23
18359-188905,50.58,26.22
34302-86720,50.58,26.14
23604-225764,50.57,26.23
1582-122086,50.61,26.25
3639-145205,50.63,26.27
26078-242484,114.4,4.3
22537-220404,114.94,4.91
22537-221644,114.94,4.91
24922-223884,115,5
25025-239325,114.73,4.77
24171-224044,-63.19,-17.75
27289-247144,-63.18,-17.8
26388-239190,-63.18,-17.75
24172-224045,-63.2,-17.75
16178-168205,-43.11,-22.9
15158-240092,-43.12,-22.9
24246-236684,-43.12,-22.9
16680-172329,-43.23,-22.98
25120-238328,-43.25,-22.81
24957-239367,-43.18,-22.9
17029-178774,-43.2,-22.98
26236-238690,-43.22,-22.98
1616-129745,-43.18,-22.96
15077-144229,-43.18,-22.95
17622-182367,-43.24,-22.92
27154-153758,-43.36,-23
17032-178778,-43.28,-22.89
21347-211845,-43.27,-22.88
16262-168204,-43.18,-22.9
17575-183485,-43.18,-22.91
23181-228184,-43.18,-22.9
16511-172333,-43.18,-22.94
16512-172326,-43.36,-22.98
1597-144232,-43.32,-23
19039-198109,-43.19,-22.98
15072-205624,-43.22,-22.98
21722-214113,-43.36,-23
20361-204804,-46.63,-23.62
1620-137556,-46.83,-23.5
23537-230924,-49.05,-22.34
15073-141445,-47.06,-22.85
22630-222405,-47.08,-22.93
22049-217325,-47.14,-23.01
22050-217324,-47.15,-23.01
15075-132765,-47.05,-22.9
15088-132764,-47.03,-22.89
16820-172334,-47.02,-22.86
21346-210669,-46.49,-23.43
21404-212164,-46.49,-23.43
22074-252023,-46.48,-23.43
21240-209666,-46.55,-23.49
23069-227505,-46.54,-23.44
21349-210668,-46.48,-23.43
22886-225568,-47.65,-22.7
20462-205664,-47.87,-21.18
21496-211625,-47.82,-21.21
19113-196825,-47.81,-21.21
16179-165745,-46.53,-23.67
23697-232164,-46.31,-23.98
18892-196485,-46.54,-23.73
21501-211525,-46.55,-23.69
16270-153754,-46.58,-23.63
19116-198104,-45.89,-23.19
19036-198105,-45.88,-23.2
19154-196844,-49.4,-20.84
22625-221985,-49.39,-20.84
22787-224488,-45.89,-23.22
24812-236264,-46.64,-23.57
24953-238607,-46.66,-23.63
15083-119364,-46.66,-23.56
25258-218466,-46.65,-23.56
16828-174131,-46.67,-23.61
26526-244252,-46.64,-23.6
13018-155344,-46.66,-23.56
17030-178614,-46.58,-23.54
17076-174965,-46.6,-23.48
22747-223964,-46.66,-23.56
16732-171265,-46.69,-23.6
15076-137360,-46.62,-23.52
23535-230929,-46.65,-23.57
15087-119368,-46.68,-23.53
15071-139724,-46.72,-23.55
17760-185965,-46.71,-23.51
18850-196006,-46.58,-23.54
20182-203439,-46.64,-23.57
21972-216324,-46.65,-23.55
18328-189824,-46.89,-23.2
15089-138507,-46.64,-23.57
24299-237048,-46.47,-23.54
15290-159665,-46.61,-23.55
16693-174504,-46.66,-23.56
15080-108726,-46.66,-23.54
15090-129744,-46.68,-23.58
25212-239906,-46.7,-23.61
22198-218465,-46.72,-23.51
15074-141446,-46.56,-23.56
15070-138325,-46.66,-23.6
18152-188284,-46.65,-23.57
15084-119365,-46.65,-23.57
18059-187909,-46.7,-23.62
15068-127148,-46.65,-23.57
25013-239489,-46.64,-23.55
15085-119387,-46.67,-23.61
23771-231944,-46.7,-23.68
15078-106618,-46.7,-23.62
21604-212986,-46.65,-23.55
17190-179664,-46.7,-23.62
19143-199070,-46.69,-23.59
15069-134020,-46.72,-23.59
17660-184304,-46.66,-23.56
20467-188924,-46.69,-23.59
17023-178613,-46.59,-23.58
16703-159666,-46.68,-23.6
15079-107036,-46.7,-23.62
18060-187907,-46.68,-23.58
20363-203440,-47.46,-23.53
20487-206084,-77.45,25.03
19786-203064,-77.47,25.07
32202-107597,-77.33,25.09
31197-102257,-77.33,25.07
30707-155784,-77.34,25.08
32120-148724,-77.39,25.07
13053-153764,-77.46,25.06
18101-187804,-77.32,25.09
30656-99475,-77.32,25.08
31288-104391,-77.32,25.07
19451-192064,-113.99,51.27
4808-103498,-114,51.27
4937-124045,-114.01,51.29
74745-97386,-114.01,51.3
4997-137066,-114.01,51.3
49107-265792,-113.99,51.27
4457-85801,-115.57,51.18
79618-113148,-115.57,51.18
5013-146204,-115.56,51.15
16143-152236,-113.42,53.36
74983-102402,-111.9,50.57
18193-180784,-114.06,51.05
4773-103661,-114.07,51.04
28225-250192,-114.07,51.05
75131-65123,-114.07,51.05
17369-170484,-114.08,51.05
4971-131631,-114.04,51.04
79606-106108,-114.12,51.09
47125-238038,-114.01,51.13
70335-136373,-114.07,50.97
4908-116204,-114.07,51.12
74996-104506,-114.07,51.1
4308-1512,-114,50.95
4381-16457,-114.13,51.09
28550-250189,-114.07,51
4549-94631,-114.25,51.12
74678-97415,-114.07,50.91
22864-223124,-114.07,51.05
4751-104207,-114.16,51.16
28650-250208,-113.98,51.07
16668-165944,-114.03,50.93
15406-157545,-114.01,51.13
5188-138106,-113.96,50.93
74984-102932,-114.08,51.04
16359-159646,-114.06,51.05
25262-240370,-114.08,51.05
21081-207145,-114.06,51.05
18180-143144,-114.07,50.88
4836-106373,-114.21,51.06
4513-93211,-114.07,51.05
79713-123485,-113.95,51.12
16971-170564,-114.04,50.88
47032-252217,-114.17,51.04
3494-141218,-114.01,51.12
4325-1513,-114.2,51.13
74853-100964,-113.98,51.05
4411-9638,-114.07,50.96
4734-104317,-114.07,51.05
4275-64439,-114.17,51.01
4316-1681,-114.06,51.06
4543-95050,-114.06,51.16
4280-1000,-114.08,51.01
4273-876,-114.1,50.97
1549-108548,-114.06,51.07
4567-96456,-114.04,51.05
74832-99496,-114.1,51.06
75779-94250,-114.01,51.13
4244-877,-114.14,51.1
4242-875,-114.09,51.05
74471-96065,-113.96,50.93
79555-106107,-114.06,50.95
4736-103822,-114.07,51.05
79566-103261,-114.01,50.98
17310-177744,-114.1,51.03
26826-244166,-113.91,51.04
4324-1302,-114.07,50.91
4272-1075,-114.07,51.03
75596-80782,-114.01,51.13
47118-238035,-114.01,51.13
4876-107838,-114.06,50.9
4988-139545,-114.07,50.97
4781-104565,-114.14,51.01
4446-79061,-114.08,50.99
4930-106303,-113.98,51.08
4392-12831,-114.07,51
3138-135605,-114.06,50.95
4601-97847,-114.04,50.98
4413-13201,-114.11,51.02
4878-119106,-114.07,51.05
72478-15113,-114.01,51.13
4853-107841,-113.95,50.91
74854-100260,-114.14,51.02
74714-97382,-114.16,51.11
4917-119105,-114.21,51.04
4619-98394,-114.07,50.91
4423-63940,-114.09,51.07
74746-97383,-114.1,50.97
4602-94979,-113.97,50.93
4504-93340,-114.17,51.02
23241-227404,-114.08,50.96
79698-120206,-114.16,51.08
74985-102401,-114.17,51.01
7196-145352,-114.06,51.04
70002-120504,-114.01,51.13
4403-15393,-114.14,51.04
4559-95425,-114.15,51.08
4864-103821,-114.13,51.16
75976-100261,-114.07,51.05
4848-107725,-114.07,51.05
22865-223125,-114.07,51.05
4399-29216,-114.07,51.15
74942-102406,-114.07,51.13
4819-105807,-114.07,51.04
22945-207164,-114.03,51.1
17004-164724,-114.21,51.15
74744-97387,-114.12,50.94
4383-14851,-114.16,51.14
16972-175068,-114.16,51.09
28637-250185,-114.16,51.08
74907-101612,-114.2,51.13
4099-105511,-114.01,50.96
4134-141704,-114.21,51.04
4261-929,-114.08,51.04
15548-64121,-114.13,51.07
47120-238037,-114.01,51.13
18259-176605,-114.13,51.07
28463-250183,-113.98,51.06
4382-16455,-114.07,51.05
4412-48899,-114.07,51.05
75487-115268,-114.09,51.06
4537-95048,-114.11,50.91
27311-246876,-113.95,50.88
4935-121504,-114.07,51.05
74831-99495,-114.12,51.02
4809-103829,-114.07,51.05
4735-104203,-114.08,51.05
74484-96467,-114.17,51.07
72476-4596,-114.06,51.04
4875-119885,-114.05,51.05
4725-99845,-113.98,51.07
28155-241104,-114.13,51.07
4250-932,-114.16,51.1
20883-207365,-114.21,51.08
4844-110584,-114.09,51.04
4385-2785,-113.99,51.08
4587-96728,-114.06,51.05
4447-77821,-114.07,51
26267-206924,-114.03,51.15
4437-75580,-114.08,51.04
18774-159648,-114.06,51.04
4769-103376,-114.2,51.13
74971-103259,-112.86,53.02
4197-140458,-112.86,53.02
4462-86400,-115.36,51.09
79562-106106,-115.36,51.09
19164-169105,-113.83,51.05
74688-96475,-113.82,51.05
4626-99131,-114.47,51.19
74829-100385,-114.48,51.19
4931-125724,-113.51,53.42
4390-20920,-113.29,53.53
74483-96466,-113.46,53.52
23089-214744,-113.5,53.49
74961-102938,-113.47,53.57
48302-256337,-113.49,53.55
4778-106692,-113.49,53.54
4467-250431,-113.49,53.54
4857-108302,-113.5,53.54
4334-1770,-113.5,53.52
16457-159644,-113.53,53.53
4974-138245,-113.49,53.6
4360-6146,-113.51,53.54
4712-102814,-113.62,53.54
28112-248985,-113.64,53.52
79595-108551,-113.49,53.6
4404-30259,-113.54,53.54
4311-825,-113.51,53.55
4969-122128,-113.54,53.62
4622-97838,-113.61,53.5
29867-240906,-113.5,53.57
4618-98388,-113.52,53.57
79591-102936,-113.52,53.55
79612-102940,-113.43,53.54
4797-251564,-113.37,53.48
4289-776,-113.49,53.46
4096-130484,-113.5,53.54
22119-214745,-113.52,53.52
28548-250125,-113.62,53.52
4672-100582,-113.5,53.54
47435-247117,-113.41,53.63
4108-139065,-113.49,53.6
4505-93335,-113.48,53.45
74500-96848,-113.42,53.6
4479-91365,-113.57,53.45
75483-108258,-113.51,53.57
4528-93524,-113.5,53.52
47083-256668,-113.61,53.44
15390-153487,-113.51,53.56
4331-1859,-113.63,53.52
48191-261884,-113.45,53.6
5015-145348,-113.53,53.52
20542-188767,-113.62,53.44
74970-102935,-113.51,53.45
74878-100505,-113.58,53.54
4907-103832,-113.67,53.49
4784-103640,-113.68,53.51
74760-97397,-113.52,53.49
4541-94177,-113.49,53.54
15628-157391,-113.52,53.52
16810-170744,-113.42,53.54
4670-100005,-113.43,53.45
4286-775,-113.58,53.54
20081-188768,-113.54,53.63
29208-238104,-113.53,53.55
4630-99174,-113.52,53.46
4375-10283,-113.5,53.51
4450-82541,-113.56,53.6
4671-100371,-113.53,53.54
70001-123124,-113.49,53.55
21476-177684,-113.41,53.47
19822-199289,-113.5,53.55
17200-172924,-113.49,53.55
5021-147847,-113.59,53.52
15190-149864,-113.41,53.61
4301-777,-113.62,53.54
16314-168765,-113.53,53.53
79611-102933,-113.59,53.47
74935-102407,-113.55,53.56
50329-273645,-113.42,53.42
74842-99498,-113.62,53.53
4820-30260,-113.49,53.45
6066-148788,-113.62,53.52
4837-103833,-113.49,53.47
4939-128484,-113.43,53.62
4680-101115,-113.62,53.53
16391-168430,-113.6,53.43
15557-155985,-113.51,53.49
4943-120324,-113.48,53.43
70000-120609,-113.49,53.55
74933-102399,-111.43,56.73
21144-188664,-111.44,56.76
22041-209287,-111.15,56.66
16767-163525,-111.36,56.72
74751-97790,-111.37,56.72
74830-100386,-113.21,53.69
5039-149606,-113.22,53.69
74747-97963,-118.79,55.18
74840-100563,-118.79,55.16
4845-108630,-118.8,55.14
4838-108631,-118.77,55.17
4534-94624,-118.82,55.17
70316-102937,-117.59,53.41
74715-97393,-113.55,53.27
17600-171685,-113.55,53.27
74730-97380,-112.89,49.69
4839-107715,-112.8,49.68
74499-97331,-112.79,49.67
4628-97843,-112.89,49.69
4372-10792,-112.84,49.7
20581-108547,-112.87,49.68
4959-105052,-110.06,53.28
22466-220884,-110.01,53.28
4900-119884,-110.65,50
79645-113146,-110.69,50.03
4677-101293,-110.66,50.01
49103-265264,-112.83,49.7
4532-94881,-113.97,50.71
74752-97381,-113.98,50.72
23362-229225,-113.81,52.24
79542-102931,-113.81,52.26
28766-250186,-113.81,52.25
4337-1931,-113.82,52.24
17770-182188,-113.82,52.25
4631-97848,-113.81,52.29
18732-189726,-113.77,52.29
4634-99283,-113.84,52.29
16944-165970,-113.82,52.21
28636-250187,-113.99,51.2
5063-145250,-113.99,51.21
74748-97396,-113.32,53.51
74749-97398,-113.3,53.53
18977-185484,-113.27,53.57
17357-167527,-113.32,53.56
4362-5763,-113.31,53.54
16768-154344,-113.31,53.51
74784-97801,-113.91,53.54
15607-155027,-113.88,53.54
4738-102813,-113.93,53.54
16459-159649,-113.58,53.65
79600-102408,-113.63,53.64
23363-229224,-113.64,53.67
4519-81741,-113.61,53.62
4330-1870,-113.63,53.65
4995-137685,-113.62,53.65
4752-103831,-113.63,53.65
74750-97800,-113.98,53.54
18873-180064,-113.39,51.04
79531-103262,-113.39,52.96
16484-136290,-122.22,49.04
4442-78640,-122.27,49.04
1633-104763,-122.31,49.05
28177-250445,-122.29,49.04
4661-99980,-122.27,49.03
70080-103268,-122.31,49.04
18623-164186,-122.38,49.06
20322-198464,-122.46,49.06
4236-552,-122.32,49.05
26135-243089,-122.27,49.04
74876-100963,-122.32,49.05
4623-98618,-122.38,49.06
79692-120228,-122.46,49.06
21731-200386,-122.92,49.28
4660-100750,-123.01,49.26
79644-107081,-122.97,49.28
4431-63939,-123,49.27
29966-256054,-123,49.23
74720-96049,-123,49.28
4610-45179,-123,49.23
4739-103079,-123,49.23
4212-1703,-123,49.23
4821-104450,-122.98,49.2
4923-108672,-122.98,49.26
9039-138386,-123,49.27
3067-137671,-123.02,49.25
29914-253954,-123,49.27
4453-82766,-122.97,49.28
4274-565,-122.89,49.25
4428-62582,-123,49.23
22867-224828,-122.91,49.28
29965-256056,-123,49.23
4873-114186,-122.98,49.2
28228-250198,-123,49.23
4539-94946,-122.96,49.22
74839-99492,-122.9,49.25
21341-209288,-122.97,49.25
127-168,-123.01,49.28
4293-556,-125.25,50.03
4792-106467,-125.25,50.03
5031-147306,-117.66,49.3
4782-105765,-121.96,49.11
4840-238618,-121.96,49.17
189-141,-121.95,49.17
4443-76420,-121.96,49.14
74844-96803,-121.96,49.14
16765-160404,-121.98,49.15
74898-100956,-121.96,49.16
26373-238617,-121.96,49.1
177-239,-122.32,49.05
4775-103544,-122.73,49.12
4499-91240,-122.82,49.25
4421-61619,-122.8,49.28
4825-108844,-122.8,49.3
167-20,-122.8,49.28
4435-70260,-122.84,49.26
4655-100369,-122.81,49.28
136-169,-122.76,49.27
16715-170124,-122.84,49.23
74145-25829,-122.79,49.28
17337-163346,-124.96,49.71
4475-89080,-124.99,49.68
4894-119405,-115.75,49.53
74943-103267,-115.77,49.51
27064-246614,-120.22,55.75
74974-103270,-120.22,55.75
4615-98529,-123.13,49.01
4483-88804,-122.89,49.12
79646-108553,-122.89,49.12
183-142,-123.08,49.09
120-171,-122.89,49.13
74897-99491,-123.08,49.09
4847-100916,-123.71,48.79
134-200,-123.7,48.78
74469-95981,-123.7,48.78
26136-242986,-113.51,53.54
22729-216504,-115.06,49.51
74828-99754,-120.85,56.24
4520-213505,-123.53,49.41
74812-99780,-120.35,50.67
4216-43,-120.35,50.67
15686-157767,-120.37,50.65
4364-6546,-120.38,50.65
21339-210884,-120.36,50.67
74753-97373,-120.36,50.7
4632-98607,-120.33,50.67
4691-99966,-120.36,50.66
4975-132024,-120.28,50.68
4913-101291,-120.36,50.7
138-23,-119.49,49.86
79563-103174,-119.49,49.89
28655-250203,-119.44,49.88
4641-99593,-119.49,49.84
4852-100915,-119.48,49.88
140-2120,-119.44,49.88
4866-113885,-119.47,49.87
4482-89003,-119.43,49.89
4398-28347,-119.5,49.89
4100-132104,-119.39,49.95
4640-99641,-119.41,49.9
4201-209164,-119.39,49.89
5077-140164,-119.43,49.95
74774-97794,-119.43,49.88
18727-181424,-119.44,49.92
70369-128724,-123.8,48.98
17772-182189,-122.66,49.11
4422-64599,-123.5,48.46
4658-100562,-123.51,48.44
4785-104821,-123.5,48.45
4713-100741,-122.66,49.16
15166-151569,-122.67,49.11
4577-96689,-122.66,49.11
4299-1378,-122.67,49.11
4481-89662,-122.65,49.1
4721-103479,-122.67,49.08
4726-101459,-122.67,49.16
74754-97377,-122.67,49.11
4231-39,-122.64,49.16
74461-95602,-122.64,49.1
4558-95730,-122.67,49.13
27236-246106,-122.67,49.11
4727-103669,-122.56,49.22
147-19,-122.59,49.22
4529-94428,-122.59,49.22
195-954,-122.66,49.22
74146-28935,-122.66,49.22
4826-108633,-120.76,50.12
79694-120227,-122.32,49.13
4345-791,-122.32,49.13
4987-133207,-124.04,49.23
4741-100791,-123.95,49.18
4989-133209,-123.95,49.16
4964-133208,-123.96,49.19
16811-163345,-123.93,49.16
4554-95426,-124.01,49.21
4393-22801,-124.05,49.24
74845-100503,-117.28,49.5
79718-128727,-122.91,49.22
4810-107004,-122.89,49.23
16633-168428,-122.9,49.21
181-233,-122.92,49.21
17113-113925,-122.91,49.2
137-22,-122.91,49.22
4599-96885,-122.95,49.19
19783-136269,-122.89,49.22
74889-99486,-122.92,49.21
7149-136086,-122.92,49.2
4204-31,-122.91,49.2
182-143,-123.07,49.32
161-190,-123.04,49.31
172-237,-123.04,49.34
79607-97796,-123.09,49.33
4919-125004,-123.04,49.31
4728-103755,-123.07,49.32
4440-75600,-123.1,49.32
4563-96073,-123.08,49.31
74965-103271,-122.97,49.32
180-240,-122.95,49.31
170-49,-123.1,49.34
4714-101455,-123.07,49.34
141-227,-123.11,49.32
4707-101288,-123.08,49.31
4643-99833,-124.3,49.32
74378-92181,-119.59,49.48
4616-98531,-119.59,49.5
4224-44,-119.58,49.47
4972-104887,-119.62,49.5
4269-1257,-122.69,49.23
4686-99705,-124.79,49.27
4415-45260,-122.78,49.26
18235-152330,-122.74,49.25
4682-100790,-122.77,49.26
74462-95599,-122.78,49.27
27291-246105,-122.76,49.24
4895-104704,-122.83,49.28
143-17,-122.83,49.28
