Store Number,Longitude,Latitude
18246-185669,110.34,20.03
25870-241505,110.34,20.06
18508-188385,110.32,20.03
22388-217464,110.46,19.94
29681-251148,110.35,20.05
20291-204664,110.34,20.02
26143-243487,106.46,29.56
17613-176013,106.5,29.58
18607-191911,106.53,29.63
3957-146224,106.51,29.6
19973-176011,106.51,29.54
31379-107039,106.58,29.56
30996-103463,106.53,29.58
30901-101060,106.46,29.56
48431-255725,106.58,29.58
20982-208824,106.52,29.54
48079-261297,106.57,29.53
1701-144193,106.56,29.53
28848-249608,106.57,29.64
19651-171231,106.53,29.59
18374-190446,106.57,29.53
24678-221184,106.53,29.58
20977-208832,106.55,29.58
32321-134385,106.53,29.58
31900-117274,106.58,29.56
17069-176010,106.51,29.61
27476-246765,106.55,29.61
32322-134388,106.52,29.51
15114-157764,106.64,29.71
25090-239704,106.51,29.54
47171-254904,106.29,29.61
16559-167628,106.48,29.47
18867-196304,106.51,29.51
25927-242169,106.3,29.6
22907-208838,106.53,29.58
15020-157104,106.53,29.58
16796-176009,106.58,29.56
3609-145070,106.57,29.53
14906-155945,106.57,29.56
22282-206447,106.52,29.52
16386-170984,106.53,29.58
3831-153478,106.57,29.63
27944-248126,106.54,29.39
31162-105228,106.58,29.56
25104-217471,106.58,29.56
13016-167631,106.59,29.55
20978-208827,106.63,29.72
48821-265347,103.72,29.6
47479-254905,104.39,31.13
49290-255184,104.42,31.16
27477-246952,104.07,30.55
18723-194586,104.06,30.65
20571-206646,104.05,30.56
14976-176020,104.04,30.55
19517-200228,104.07,30.58
17998-176014,104.06,30.58
19329-200489,104.07,30.57
49857-271448,103.64,30.99
31161-100985,104.05,30.64
27165-155188,104.11,30.67
30974-102128,104.07,30.62
48332-261291,103.97,30.68
27694-241844,104,30.65
1714-144727,103.95,30.6
16402-167924,104.07,30.6
21863-208835,104.07,30.6
20657-207245,104.09,30.68
17110-274524,104.07,30.63
28109-248444,104.07,30.59
19620-200229,104.07,30.66
48939-265848,104.06,30.52
17488-181730,104.08,30.65
25087-238710,104.07,30.65
22250-215524,104.07,30.71
25750-241925,104.02,30.66
1479-141711,104.08,30.66
21416-212207,104.08,30.66
20574-206444,104.04,30.7
48439-261294,103.93,30.6
15921-164409,104.01,30.65
28048-248964,104.07,30.63
47924-260484,104.07,30.66
24441-235504,104.07,30.59
49293-267967,103.97,30.68
28046-248124,104.06,30.67
17634-181728,104.07,30.65
17442-181731,104.07,30.62
49655-270525,104.06,30.59
29845-251785,103.91,30.81
30911-102136,104.07,30.66
17801-186144,104.01,30.66
29064-243327,104.09,30.65
22586-219144,104.07,30.59
15663-164408,104.1,30.62
12470-153846,104.06,30.6
16644-168628,103.95,30.54
31245-106379,104.06,30.67
28187-246954,104.03,30.64
48932-265846,103.92,30.75
22831-208833,104.05,30.55
22686-219244,104.08,30.65
18069-181729,104.08,30.65
30699-100755,104.07,30.66
24389-234404,103.96,30.68
23622-229505,103.95,30.58
29261-245804,104.09,30.66
32485-134387,104.05,30.66
29945-255312,104.02,30.65
25086-225044,104.08,30.66
21534-212286,104,30.67
29749-254025,104.06,30.59
22280-208834,104.09,30.64
31435-107381,104.07,30.65
48075-258444,104.06,30.62
19622-199608,103.99,30.57
21549-208836,103.86,30.68
1686-141712,104.04,30.72
22070-176025,104,30.63
20195-204104,103.98,30.72
16369-155189,104.08,30.62
23057-225567,104.07,30.66
20747-207744,104.03,30.63
32424-134384,104.08,30.66
18050-190766,104.06,30.6
21521-212205,103.96,30.67
20055-199365,104.08,30.66
48189-258445,104.03,30.62
27478-246955,104.07,30.57
20493-205707,104.09,30.61
22079-206446,104.08,30.65
29263-252044,104.07,30.57
17329-176008,104.05,30.69
25922-240926,104.11,30.67
18879-196384,104.11,30.67
48072-250685,103.94,30.52
21870-212204,104.07,30.66
16999-164729,104.12,30.65
31901-120005,104.05,30.61
17686-184844,104.11,30.67
20017-199364,104.08,30.65
18390-176018,104.07,30.69
49419-261290,104.24,30.58
27226-244744,104.06,30.54
7194-149366,104.08,30.64
3548-134401,104.08,30.65
17289-176005,104.07,30.54
22810-208831,104.06,30.55
30700-100753,104.08,30.66
25689-241624,104.72,31.45
25924-241625,104.74,31.46
29682-252424,104.74,31.46
22684-222184,106.72,26.58
26086-242536,106.69,26.57
25179-239967,106.72,26.6
29265-251773,106.7,26.58
23793-232086,106.62,26.6
48139-261665,106.71,26.58
25189-238304,106.8,26.54
23791-231405,106.72,26.56
29371-251911,106.71,26.56
27474-247444,100.24,26.87
29944-254769,100.23,26.88
48555-255765,100.16,25.69
25639-241065,102.93,25.1
22465-215704,102.72,25.07
18037-161565,102.71,25.04
17606-183628,102.7,25.04
18004-186789,102.74,25.1
18036-161706,102.71,25.04
25137-239631,102.68,24.99
23569-230024,102.68,24.99
23757-230964,102.71,25.01
16591-165384,102.68,25.01
16363-170809,102.73,25.08
18035-161564,102.71,25.04
28913-249607,102.77,24.97
19437-182724,102.73,25.05
16590-171364,102.93,25.1
48251-261927,102.71,25.05
22082-206864,102.72,25.07
15447-161566,102.71,25.04
19509-188685,102.76,24.98
28911-248484,102.75,24.96
18644-193766,102.71,25.04
29197-251426,108.71,34.34
48701-264726,107.23,34.35
6197-148307,108.96,34.27
18431-190445,108.94,34.22
27093-242565,108.96,34.27
19520-199604,108.97,34.21
31571-105690,108.95,34.26
21399-211404,108.95,34.22
16908-176844,108.94,34.34
16969-177405,108.76,34.44
1498-144227,108.95,34.33
29890-254986,108.9,34.22
16416-164730,108.96,34.21
49629-270369,108.91,34.16
32090-126404,108.89,34.24
15018-157105,108.92,34.23
18604-193465,108.96,34.24
19935-202784,108.95,34.26
20497-205928,108.97,34.32
16164-168884,109,34.25
25925-241185,108.87,34.17
31327-169944,108.9,34.23
31507-109647,108.95,34.26
29849-255044,109.17,34.36
26891-242564,108.95,34.29
19640-198724,108.97,34.23
29751-254645,108.9,34.23
24018-224945,108.99,34.2
27868-246606,108.94,34.26
27416-247365,108.96,34.21
18647-186790,108.96,34.22
17287-176017,108.89,34.24
47174-256404,108.94,34.34
47359-256744,108.95,34.34
16792-176015,109.29,34.39
47663-258605,108.9,34.23
15000-176019,108.95,34.24
26423-238944,108.95,34.22
31611-177306,108.95,34.26
29688-253704,108.88,34.19
17237-180164,108.91,34.25
47416-256865,108.94,34.34
24777-238531,103.86,36.06
47232-255726,103.82,36.06
25923-241626,103.84,36.05
47231-255727,101.72,36.64
26084-241628,101.76,36.63
26085-241627,101.76,36.63
47484-258305,106.25,38.49
48078-261295,106.28,38.46
16505-172146,114.17,22.28
15414-161225,114.17,22.28
32195-235805,114.19,22.28
12485-154769,114.18,22.28
17437-181845,114.18,22.28
16506-172147,114.18,22.28
14951-156525,114.19,22.28
31011-103797,114.15,22.28
17700-185544,114.24,22.27
32616-136964,114.19,22.29
17868-186924,114.15,22.33
15593-163265,114.16,22.29
22733-224529,114.16,22.28
28938-251933,114.17,22.32
25112-240024,114.27,22.32
22746-224528,114.18,22.28
22732-224524,114.18,22.28
18502-191524,114.25,22.27
25412-240989,114.13,22.36
24822-239032,114.19,22.31
31601-105081,114.18,22.33
32229-131684,114.17,22.28
29822-255585,114.11,22.38
24127-235785,114.26,22.34
34644-94628,114.16,22.28
34634-82422,114.15,22.29
31373-106380,114.16,22.29
22442-221224,114.18,22.3
34622-64463,114.16,22.28
23210-228524,114.14,22.34
31925-120428,114.15,22.24
31944-224544,114.2,22.32
49645-268447,113.94,22.29
19339-201107,113.97,22.4
15483-161944,114.15,22.29
34647-95348,114.17,22.3
32240-132324,114.21,22.32
26879-245951,114.19,22.39
31187-105744,114.16,22.28
3528-143666,114.11,22.36
21724-214545,114.04,22.45
30735-101334,114.17,22.3
16712-167649,114.16,22.28
17106-179448,114.24,22.26
31996-167164,114.16,22.3
32444-132545,113.93,22.31
23427-230344,114.17,22.32
29427-253664,114,22.27
3557-139866,113.93,22.31
28086-249917,114.23,22.31
48031-261185,114.14,22.29
1365-236605,114.17,22.45
34628-224530,114.19,22.38
49648-270180,114.16,22.28
32194-127704,114.19,22.38
20900-208764,114.15,22.29
27011-246465,114.18,22.3
49649-270181,114.12,22.37
34601-20281,114.16,22.28
18824-195484,113.93,22.32
28087-249911,114.21,22.32
34615-55880,114.17,22.28
16021-167646,114.16,22.28
34616-51681,114.16,22.28
32347-134899,114.18,22.28
32302-134909,114.11,22.37
49646-268445,114.19,22.33
13020-151249,114.16,22.29
34630-69462,114.16,22.28
32157-218684,114.18,22.3
24613-238415,114.25,22.3
32636-134915,114.16,22.28
22016-217104,114.14,22.28
48994-264925,114.21,22.42
1778-134920,114.17,22.44
34646-96055,114.19,22.29
1611-181864,114.16,22.28
15973-167125,113.94,22.31
27611-248111,114.15,22.34
31484-108178,114.22,22.31
1777-134912,114.17,22.3
18145-188484,114.15,22.29
34658-239838,114.17,22.32
32338-134910,114.27,22.38
24281-236988,114.13,22.5
28088-249905,113.92,22.31
16738-175264,114.14,22.28
9072-151887,113.93,22.32
16503-172145,114.17,22.25
24614-238413,114.15,22.25
21431-211426,114.19,22.28
28937-251934,114.17,22.3
34609-22927,114.16,22.28
27789-248689,114.18,22.34
27612-248108,114.22,22.28
20654-207724,114.22,22.29
23343-229464,114.17,22.3
21323-211425,114.18,22.28
32024-123406,114.17,22.3
27029-245950,114.13,22.36
48669-264344,114.12,22.37
47110-256908,114.17,22.32
34638-85784,114.2,22.34
18501-191544,114.14,22.28
19323-201108,114.18,22.3
30625-100796,114.15,22.29
1909-139865,114.16,22.28
34643-83441,114.13,22.26
19320-201106,114.19,22.27
13030-155884,114.13,22.26
18770-195085,114.14,22.29
3647-144864,113.94,22.32
31356-107400,114.15,22.27
34659-100323,114.18,22.28
7076-154450,114.17,22.29
34651-97510,114.23,22.31
34610-28207,114.21,22.32
15035-155445,114.2,22.33
23287-137113,114.17,22.3
31644-113449,114.17,22.3
30619-100432,114.16,22.32
22692-223905,114.16,22.32
31721-115748,114.17,22.3
21708-214544,114.17,22.31
22975-218604,114.26,22.32
34649-96235,114.17,22.31
20668-234764,114.17,22.3
16145-168825,114.19,22.34
31372-107012,114.15,22.34
32539-136288,114.19,22.3
21805-215565,114.18,22.34
15498-162224,114.17,22.32
16739-175266,114.17,22.32
31735-116128,114.21,22.32
31295-106071,114.17,22.34
31121-105082,113.9,22.26
15277-154127,113.94,22.29
34650-96576,114.17,22.32
15929-163266,114.17,22.32
22175-217086,114.12,22.37
22213-218664,114.24,22.43
18851-196085,114.23,22.42
17102-179447,114.19,22.4
16737-175265,113.98,22.39
12922-155444,114.17,22.29
18759-195084,114.06,22.37
17109-179446,114.26,22.31
19076-198145,113.94,22.32
15014-157084,114.21,22.29
17103-179445,114.21,22.29
31354-107893,114.21,22.29
19399-201944,114.2,22.39
16258-160084,114.21,22.22
31235-106228,114.21,22.29
16020-167645,114.19,22.28
17866-186926,114.11,22.37
17865-186925,113.98,22.39
31028-104389,114.19,22.28
34605-28027,114.18,22.28
34645-95953,114.17,22.27
15497-162225,114.02,22.44
15497-258344,114.02,22.44
32028-118769,113.54,22.19
25739-242270,113.56,22.14
26016-243258,113.54,22.19
28491-242268,113.54,22.2
17438-181847,113.56,22.15
27019-246468,113.56,22.15
31906-113446,113.56,22.15
15204-138206,113.54,22.2
17872-186929,113.55,22.19
24126-235784,113.55,22.19
28490-242269,113.54,22.2
22210-218665,113.56,22.15
17108-179449,113.55,22.19
23562-221725,-74.05,4.68
23563-221726,-74.05,4.68
24985-232987,-74.06,4.65
24997-228744,-74.1,4.65
25724-242304,-74.12,4.68
26841-245829,-74.03,4.7
24940-239404,-74.05,4.67
25302-227730,-74.04,4.68
26042-238585,-74.07,4.62
23561-224405,-74.06,4.65
50111-248464,-75.57,6.2
27715-248634,-84.12,9.6
26615-244754,-84.21,10.01
20308-204634,-84.16,9.94
18288-185424,-84.06,9.96
27696-248466,-84.15,9.94
24396-237662,-84.11,9.94
26616-244752,-84.06,9.93
26485-227284,-84.08,9.93
17363-174204,-84.14,9.94
20307-204624,-84.04,9.91
26460-227264,-84.02,9.91
3719-146031,-68.94,12.11
19294-198625,-68.94,12.11
50457-251218,-68.9,12.09
27879-249085,33.32,35.16
42801-93145,33.36,35.16
42803-97447,33.36,35.17
31994-117512,33.37,35.13
42804-98994,33.09,34.7
42802-94862,33.05,34.68
30864-100023,33.06,34.68
31688-108574,33.04,34.68
42805-98443,33.64,34.91
42806-100022,32.42,34.76
48016-261047,16.57,49.18
24480-220065,16.63,49.14
21083-202905,16.61,49.19
28747-250828,16.61,49.2
16987-157524,18.29,49.83
19488-185284,18.23,49.8
16967-177664,14.4,50.09
25083-233050,14.49,50.03
48232-254737,14.4,50.07
12733-149006,14.43,50.08
1722-137168,14.43,50.08
32313-123443,14.43,50.09
12741-153405,14.4,50.1
32280-126867,14.4,50.09
32411-134970,14.27,50.11
26787-245504,14.54,50.08
1716-143404,14.29,50.05
32312-123442,14.43,50.09
32514-137496,14.3,50.05
32694-138269,14.42,50.09
24296-237090,14.45,50.09
19078-172614,14.58,50.11
1723-134972,14.43,50.09
16803-166525,14.43,50.08
29655-254736,14.5,50.14
23115-228044,14.44,50.09
1717-141584,14.49,50.03
26583-244691,14.4,50.07
40948-102601,13.13,52.37
40947-102602,13.06,52.4
40971-108228,13.42,52.52
40949-103780,13.38,52.51
18524-185885,13.37,52.51
40902-73863,13.38,52.52
40959-104787,13.33,52.5
23821-231868,13.33,52.46
40978-109844,13.31,52.5
20422-205364,13.41,52.52
25271-240424,13.33,52.51
40945-104692,13.39,52.51
40904-77324,13.39,52.51
48719-264667,13.4,52.53
40903-77323,13.39,52.52
20052-195566,13.43,52.51
40910-77361,13.37,52.51
40984-115105,13.29,52.55
31078-102772,13.37,52.52
40907-81222,13.33,52.5
40993-101710,13.31,52.51
40966-107930,13.41,52.52
17421-181704,8.19,48.78
19698-202604,9.04,48.69
1175-139262,9.31,48.74
41024-127966,7.84,48
41035-137174,7.85,47.99
40931-95918,7.85,48
40925-88241,8.71,49.41
40991-115893,8.7,49.41
40982-113089,9.22,49.14
41009-115899,9.22,49.14
40981-114924,8.4,49.01
40992-115895,8.4,49.01
17128-172265,8.39,49.01
41022-127967,9.01,48.8
1174-141222,9.15,48.92
41010-117528,8.47,49.48
30891-98355,9.18,48.78
40944-104366,9.18,48.78
23014-216744,9.18,48.79
40941-96842,9.18,48.78
30893-100084,9.17,48.78
3598-145144,11,49.59
21607-213526,11.88,49.7
40939-91346,11.57,48.14
40936-96211,11.59,48.16
40963-105719,11.56,48.14
40961-105795,11.58,48.14
40985-115888,11.56,48.14
40943-98234,11.58,48.14
30741-98235,11.65,48.1
1199-135484,11.57,48.14
41008-116000,11.79,48.35
3666-144486,11.58,48.14
29158-252786,11.56,48.14
26813-245686,11.45,48.17
40937-95466,11.08,49.45
31035-103157,11.08,49.45
30679-98922,11.07,49.45
40998-115943,11.08,49.45
41013-122785,8.75,53.11
41007-119886,8.75,53.11
41006-122024,8.81,53.08
15188-158364,8.81,53.08
40974-110906,8.65,49.87
49906-271646,8.67,50.13
29637-254611,8.57,50.05
3667-144644,8.56,50.03
29636-254612,8.59,50.05
29322-253306,8.69,50.14
29638-254609,8.57,50.05
20029-197624,8.65,50.11
17370-177364,8.69,50.11
41001-115911,8.67,50.11
40987-115071,8.68,50.11
40911-83580,8.67,50.11
40921-83581,8.68,50.11
40913-83582,8.67,50.11
30641-98403,8.66,50.11
18434-185891,8.75,50.14
40935-88240,8.63,50.16
40908-81660,8.67,50.11
18289-185887,9.5,51.32
5131-128364,8.76,50.1
30669-159284,8.53,50.12
30696-95045,8.57,49.53
1193-115969,8.61,49.89
25528-241284,8.27,50.07
40934-96030,8.24,50.08
40955-102397,8.24,50.07
27798-248728,10,53.63
40968-106894,9.99,53.55
40946-102801,9.99,53.55
40953-103469,10.09,53.65
41034-134416,9.99,53.59
18162-188450,10.01,53.55
40967-104693,9.99,53.56
1176-106896,10,53.55
1246-139255,9.86,53.57
16260-158344,9.99,53.56
41028-139505,9.99,53.55
41014-106925,9.81,53.56
40958-105794,10,53.55
3786-139265,10.52,52.26
40970-106988,10.53,52.26
40995-133885,9.74,52.38
17335-177384,9.74,52.38
40933-96249,8.05,52.27
17939-177385,9.86,52.99
40917-85687,6.08,50.78
8180-154445,8.53,52.02
31090-103074,7.22,51.48
40927-93656,7.14,50.72
40957-101630,7.1,50.73
31032-96695,7.1,50.74
23603-231505,6.95,50.94
40928-89341,6.96,50.94
40916-83440,6.94,50.94
30890-99861,6.96,50.94
40989-107025,7.47,51.51
1260-142311,7.46,51.51
31091-104009,7.47,51.51
40920-86243,6.78,51.23
40997-115889,6.8,51.22
40918-83804,6.77,51.22
30988-102965,6.76,51.28
18010-179049,6.82,51.21
41023-131545,6.76,51.28
41002-115973,6.77,51.43
40950-104073,6.77,51.43
40983-111895,6.77,51.43
3771-146187,7.01,51.45
40914-82745,7.01,51.45
41003-104068,7,51.46
41005-103118,6.84,50.94
41030-120864,7.12,50.88
41031-115988,6.98,51.03
40906-81900,6.95,51.44
41020-120104,7.63,51.96
40938-99185,6.88,51.49
41021-129904,6.88,51.49
40938-99005,6.88,51.49
41015-115995,7.15,51.26
26810-245685,7.22,50.44
17954-178444,7.6,50.36
1190-127384,8.26,50
26809-245684,7.45,50.59
20865-208324,7.55,49.45
18272-189445,6.69,49.99
41032-133887,10.14,54.32
17828-178566,9.98,54.04
1571-142326,6.99,49.24
1194-124550,6.99,49.24
1251-139305,13.74,51.05
20604-161924,13.73,51.04
1197-133645,13.74,51.04
17860-181705,12.38,51.34
40999-115960,12.38,51.34
24196-236564,11.04,50.97
26965-246246,12.57,55.68
29323-251026,12.58,55.7
25903-242948,12.51,55.68
26968-246245,12.53,55.68
25081-228567,9.99,57.02
23109-224384,9.88,57
20021-199445,9.92,57.05
24170-228568,10.43,55.37
17899-186844,12.58,55.63
22327-219684,12.56,55.67
24251-231385,12.57,55.68
24250-231384,12.52,55.68
20376-205065,12.33,55.6
31965-124528,12.65,55.63
31551-111285,12.65,55.63
15216-157567,12.65,55.63
21478-205104,11.78,55.25
29586-253667,10.21,56.16
19482-199484,10.21,56.15
20371-205124,9.46,55.51
29163-252808,9.53,55.71
31657-104436,29.96,31.24
15433-161464,31.35,30.13
25827-242606,31.25,30.05
26054-236446,31.27,30.01
25473-241146,31.25,30.05
29652-254745,31.2,30.02
25472-241147,31.24,30.04
19742-200007,31.35,29.98
20111-200005,31.25,30.05
19539-202105,31.25,30.05
25471-241148,31.25,30.05
27462-247749,31.24,30.04
15432-161465,29.75,31.08
19743-200006,31.35,29.98
25470-241149,31.33,29.98
15599-157707,31.38,30.02
16894-171864,31.21,30.01
16565-172944,31.23,30.03
26786-245544,31.24,30.04
32152-109504,31.23,30.07
32314-115172,31.03,30.06
31479-105246,31.34,30.09
31756-107161,31.33,30.06
1397-139244,31.33,30.06
32191-116645,31.3,29.99
3664-142484,31.2,30.06
3562-131562,31.34,30.08
31646-106547,31.41,30.11
31755-107182,34.33,27.91
32389-107342,34.33,27.92
32490-111349,34.43,28.04
24637-238504,-3.69,40.48
15307-148964,-0.48,39.46
6115-147505,-4.49,36.68
24564-232744,-4.43,36.72
26270-244207,-4.92,36.5
6098-147504,-4.49,36.68
29456-253884,-4.42,36.72
19008-195564,-0.48,39.5
47917-260346,-4.63,36.55
31046-99299,-6,37.39
40426-95420,-5.99,37.39
31593-106526,-5.99,37.38
40435-98345,-5.99,37.38
32154-115924,-0.38,39.48
1891-129885,-0.38,39.47
31444-106939,-0.37,39.47
31223-104229,-0.38,39.47
24373-237542,-2.93,43.26
48391-262984,-2.91,43.3
50301-260428,-8.43,43.35
50302-265969,-8.41,43.35
26658-244208,-0.49,38.34
2063-142827,-15.39,27.94
3139-138613,2.2,41.44
40434-98395,2.19,41.4
40415-87543,2.14,41.39
40424-95313,2.14,41.39
40403-77873,2.16,41.4
30637-98591,2.17,41.38
31390-103782,2.17,41.39
40418-88743,2.17,41.4
32518-115920,2.17,41.39
40404-77706,2.17,41.39
32740-137020,2.17,41.39
30690-99478,2.19,41.4
40425-95605,2.12,41.39
40416-90706,2.17,41.39
40432-98094,2.16,41.39
30616-99539,2.18,41.38
40408-81681,2.18,41.38
40411-86525,2.17,41.39
40429-96876,2.18,41.39
32775-115940,2.2,41.41
50385-265867,2.71,39.55
17408-181145,2.65,39.57
25437-230149,-3.7,40.45
25366-232764,-4.95,36.49
19153-192864,-3.64,40.5
30711-102224,-3.69,40.44
32423-117535,-3.69,40.46
40436-99347,-3.69,40.43
40428-95911,-3.72,40.43
48110-261509,-3.68,40.42
31664-108318,-3.92,40.28
40417-86961,-3.71,40.42
23898-232724,-3.74,40.34
40402-128944,-3.69,40.42
40407-71541,-3.71,40.43
40430-96482,-3.7,40.42
12447-119905,-3.7,40.45
31783-108319,-3.7,40.43
32060-105168,-3.69,40.41
17362-181144,-3.58,40.47
31501-103703,-3.68,40.44
30896-101063,-3.7,40.42
18256-183324,-3.7,40.42
31119-103943,-3.7,40.47
9109-103942,-3.66,40.45
31291-105885,-3.66,40.44
23899-232765,-3.82,40.47
40412-86343,-3.69,40.58
40422-94806,-3.7,40.42
30739-100463,-3.84,40.48
32533-107812,-3.68,40.43
40427-95781,-3.71,40.42
40421-86960,-3.71,40.42
29775-255320,-3.71,40.42
3140-139964,-3.62,40.32
40410-83446,-3.7,40.42
1371-125250,-3.6,40.37
31782-108637,-3.53,40.34
20598-206826,-3.58,40.47
40401-71540,-3.68,40.44
18140-216665,-3.58,40.47
40423-95329,-3.7,40.43
40406-80152,-3.7,40.45
30712-99808,-3.69,40.46
40409-85518,-3.68,40.44
32472-115925,-3.64,40.46
32345-115929,-3.72,40.43
40413-91340,-3.71,40.42
32471-108694,-3.74,40.37
48387-263297,-3.79,40.44
40419-93027,-3.82,40.4
17078-176509,-3.91,40.46
32619-125251,-3.61,40.54
31500-106940,-3.93,40.58
50300-260427,-1.13,37.99
50303-266029,-1.98,43.32
50309-266027,-0.89,41.61
15213-156884,-0.56,38.29
16984-170724,24.97,60.32
16734-170725,24.97,60.32
26807-245687,24.81,60.22
27859-248941,24.93,60.17
19759-193389,24.94,60.17
47162-253308,25.08,60.21
29582-251028,24.96,60.29
29581-251027,24.85,60.26
27750-248649,7.34,47.75
27752-248647,7.75,48.58
25626-241740,-0.53,44.79
26289-241644,-0.57,44.84
25629-242024,-0.58,44.84
49613-264365,-0.57,44.85
23394-229966,-0.65,44.84
29811-255425,3.12,45.78
27938-249190,5.04,47.32
19170-197324,1.08,48.24
13199-104745,2.33,48.81
13127-154884,2.78,48.87
12495-94126,2.24,48.89
13107-108211,2.24,48.9
27258-246984,2.22,48.9
17186-156984,2.4,48.74
15871-165988,2.4,48.74
17015-175284,2.33,48.88
13114-116346,2.33,48.86
12501-99818,2.29,48.87
12694-102632,2.33,48.88
18192-176508,2.3,48.89
13198-98190,2.33,48.87
17272-178133,2.34,48.89
13104-107567,2.31,48.87
27932-249245,2.36,48.88
15107-112904,2.28,48.88
13128-154886,2.37,48.85
15693-160469,2.34,48.88
1743-140635,2.32,48.84
13101-103781,2.33,48.87
12659-102572,2.34,48.85
13192-95763,2.37,48.85
27853-248936,2.33,48.85
15235-154565,2.35,48.86
12494-93458,2.33,48.87
20866-208364,2.33,48.87
13115-115584,2.31,48.86
18370-190384,2.36,48.88
20868-208365,2.33,48.87
12500-100675,2.35,48.87
15346-156145,2.29,48.84
13193-96720,2.35,48.86
15286-155824,2.3,48.84
17394-176824,2.29,48.85
13118-138994,2.3,48.85
12502-101284,2.35,48.84
15711-154564,2.35,48.86
17473-173684,2.37,48.85
13195-96135,2.35,48.86
17360-176506,2.33,48.84
13188-100237,2.34,48.85
13120-152785,2.3,48.88
12499-99318,2.39,48.83
12564-101273,2.35,48.86
12496-94215,2.32,48.84
28900-251025,2.32,48.84
12697-104006,2.32,48.88
13130-154894,2.33,48.88
12987-152205,2.34,48.86
17014-175285,2.33,48.88
13197-98040,2.33,48.83
13116-116351,2.36,48.86
13110-111588,2.3,48.87
13194-96875,2.34,48.87
13113-113946,2.33,48.87
16616-173645,2.37,48.85
13191-98305,2.38,48.83
13190-95612,2.34,48.85
13112-116064,2.32,48.87
17991-173664,2.36,48.88
12687-102534,2.35,48.87
13105-106717,2.28,48.86
23172-228224,2.35,48.86
13131-154890,2.33,48.88
27855-248934,2.28,48.85
14919-155605,2.57,49
12497-96050,2.33,48.88
21258-209764,1.98,48.83
16684-170824,2.24,48.89
12518-100676,2.24,48.89
17402-173644,2.58,49
1755-143064,2.54,49.01
6061-144764,2.56,49
28166-248937,2.55,49.01
29583-252567,2.55,49.01
27487-247885,2.55,49.01
19522-186944,2.09,48.9
16471-169404,2.04,48.78
12498-99143,2.78,48.85
13106-107306,2.37,48.76
13102-107618,2.39,48.76
20847-207749,2.52,48.99
20882-207748,2.52,48.99
13196-96839,2.22,48.78
13123-110464,2.13,48.8
26238-244107,3.89,43.61
48788-265025,1.4,43.69
29791-255373,1.45,43.61
13129-154888,2.24,48.84
22033-217150,1.81,50.93
26917-246087,3.07,50.64
25628-242026,3.06,50.64
48497-263565,3.13,50.62
48672-264265,1.53,47.21
29304-253250,-1.56,47.22
27757-248645,-1.56,47.21
48594-263564,0.69,47.39
27504-247884,2.11,49.46
27981-230406,7.02,43.55
17367-177135,5.22,43.42
17739-177138,5.21,43.42
1753-143004,5.37,43.3
17886-184826,5.38,43.29
22202-218105,5.35,43.36
22076-151787,5.36,43.31
26237-244106,5.48,43.29
21398-191845,5.48,43.29
26023-243257,7,43.59
20751-207746,7.27,43.7
24653-238584,7.21,43.67
17137-175666,7.2,43.66
26241-244113,4.73,45.98
47402-258165,5.71,45.19
27856-248935,4.84,45.76
1738-138992,4.82,45.74
20352-178768,4.86,45.76
18753-190887,4.86,45.76
13109-107965,4.84,45.77
13132-154891,4.84,45.76
21727-214546,5.08,45.72
13117-134467,4.88,45.77
32368-134291,-2.57,51.54
12309-67500,-2.35,53.38
23586-231430,0.88,51.14
25245-240306,0.87,51.15
9157-152265,-1.51,52.22
18361-190425,-1.5,52.22
12885-140706,-0.2,52.01
27395-236929,-1.32,52.08
12507-94368,-0.24,51.48
12227-41519,-0.2,51.66
23015-227084,0.48,51.59
27635-248277,0.46,51.57
28781-251211,-1.11,51.27
28690-250889,-1.08,51.27
28692-250880,-1.09,51.27
23575-231424,-2.36,51.38
21365-212224,-2.36,51.38
12863-139663,-2.36,51.38
12341-237067,-0.64,51.61
3187-140748,-0.63,51.59
15383-160610,-0.49,52.03
15381-160608,-0.49,52.03
23583-231428,-0.48,52.14
15384-160609,-0.49,52.03
9136-152279,-1.56,51.48
9155-152277,-1.56,51.48
28685-250882,-0.67,51.41
48484-263447,-0.42,53.84
12565-96660,0.15,51.46
23093-227647,-2.83,53.54
26592-228206,-4.22,51.02
5192-148826,-1.91,52.48
12952-140408,-1.89,52.48
23479-229327,-1.91,52.47
3638-151108,-1.73,52.45
25571-241546,-1.72,52.45
26831-245768,-1.95,52.36
17334-180566,-1.9,52.48
12247-41621,-1.9,52.48
12441-93182,-1.89,52.48
12262-46960,-1.9,52.48
3623-151109,-1.72,52.45
9156-152264,-1.95,52.36
20097-203367,-1.91,52.48
12819-137870,-1.82,52.51
4013-151110,-1.91,52.48
12415-87082,-1.89,52.48
9143-152266,-1.95,52.36
28702-250909,-1.64,53.74
27642-248279,0.16,51.87
17511-182524,0.19,51.87
9121-150525,-2.45,53.73
47731-259624,-3.05,53.82
12775-155328,-3.01,53.81
20724-208164,-1.47,54.95
6081-154368,-2.58,53.6
12696-105699,-2.43,53.58
6089-154367,-2.57,53.6
23094-227644,-1.88,50.72
26726-245125,-1.9,50.72
25828-242626,-1.86,50.72
32724-140325,-1.82,50.75
18967-193486,-1.88,50.72
29705-254774,-1.86,50.73
